degree,hours_daily,field,job_level,yrs_experience,company_size,country,salary_usd
phd,12,finance,entry,12,medium,USA,95298.05
bachelors,7,education,intermediate,12,micro,Brazil,50320.66
phd,6,research,senior,17,medium,Ethiopia,124191.85
bachelors,10,medicine,entry,28,micro,Vietnam,87027.22
bachelors,7,education,entry,5,large,Japan,40069.67
masters,6,marketing,senior,14,large,Mexico,127594.43
bachelors,11,marketing,senior,31,micro,Turkey,132035.2
phd,11,design,entry,8,large,China,74276.4
phd,11,it,intermediate,7,micro,USA,91073.48
masters,11,it,senior,11,micro,Egypt,119014.8
masters,8,finance,senior,39,large,USA,225681.57
phd,10,sales,intermediate,40,small,Mexico,118195.58
phd,7,law,senior,13,small,Russia,121373.22
bachelors,9,sales,entry,32,micro,DR Congo,66096.66
bachelors,8,sales,entry,39,large,Japan,98041.33
masters,7,it,entry,40,large,Iran,129197.21
masters,7,medicine,intermediate,7,small,Nigeria,75135.46
masters,9,research,senior,24,small,Ethiopia,135402.08
masters,8,engineering,entry,38,small,Bangladesh,86206.38
phd,12,education,senior,14,micro,India,102591.08
bachelors,7,engineering,entry,31,medium,India,74889.92
masters,9,it,intermediate,10,small,Japan,86387.46
phd,12,marketing,senior,11,large,Mexico,162868.65
masters,11,sales,entry,32,micro,Brazil,75284.68
phd,7,finance,intermediate,10,large,DR Congo,103028.33
masters,8,law,senior,22,medium,Bangladesh,151620.6
masters,8,finance,senior,26,medium,Bangladesh,161070.6
phd,12,finance,entry,13,micro,China,70575.77
phd,11,education,senior,36,micro,Turkey,131157.2
phd,7,research,senior,18,small,Egypt,115048.99
phd,9,sales,intermediate,9,micro,China,66886.69
masters,6,marketing,entry,17,micro,Bangladesh,43122.1
phd,7,engineering,intermediate,22,medium,Bangladesh,113972.17
phd,10,design,senior,23,large,Russia,193677.05
phd,9,education,entry,25,medium,Vietnam,81059.74
phd,11,design,entry,21,medium,Indonesia,95333.82
masters,7,research,entry,24,small,Indonesia,68428.83
masters,11,engineering,senior,6,small,Bangladesh,113011.58
phd,8,law,intermediate,11,large,Nigeria,137631.28
masters,10,engineering,entry,38,micro,Brazil,86885.34
masters,12,education,intermediate,30,micro,USA,85838.4
masters,9,finance,senior,9,large,Nigeria,161590.75
masters,8,education,entry,10,small,India,37648.32
phd,7,engineering,entry,38,large,Ethiopia,122357.66
bachelors,7,engineering,intermediate,0,micro,DR Congo,37762.45
phd,11,medicine,entry,21,large,Egypt,160695.29
bachelors,10,research,intermediate,34,medium,Germany,136607.56
bachelors,12,medicine,senior,0,large,Russia,173233.71
phd,8,it,entry,17,small,DR Congo,83319.38
phd,12,law,intermediate,14,micro,Germany,101259.57
phd,6,it,intermediate,39,micro,Bangladesh,107292.47
bachelors,11,engineering,intermediate,26,micro,Pakistan,89534.85
bachelors,11,engineering,entry,23,small,Thailand,68703.66
bachelors,10,engineering,entry,20,micro,Vietnam,55238.8
phd,8,it,entry,2,micro,Vietnam,40317.37
masters,11,medicine,senior,9,micro,Canada,126952.38
bachelors,9,law,entry,40,micro,Pakistan,96681.52
masters,10,finance,senior,10,small,USA,129538.47
masters,9,it,entry,22,medium,China,82230.0
masters,8,engineering,senior,0,micro,Ethiopia,83418.9
bachelors,9,medicine,intermediate,10,medium,Indonesia,94977.48
masters,9,research,senior,39,large,DR Congo,225432.12
masters,11,marketing,intermediate,31,small,DR Congo,113032.57
phd,7,engineering,entry,28,large,Japan,121686.88
masters,9,sales,intermediate,32,small,Vietnam,94752.73
phd,11,design,entry,39,large,Egypt,156242.15
phd,7,marketing,entry,34,medium,USA,90763.01
phd,10,law,entry,30,large,Ethiopia,161392.04
phd,7,marketing,senior,28,small,Japan,118448.01
masters,7,education,entry,24,large,India,68664.69
bachelors,6,marketing,entry,10,medium,Ethiopia,36401.96
masters,10,finance,intermediate,19,small,Brazil,104853.93
bachelors,12,education,senior,13,micro,Nigeria,88344.32
phd,12,medicine,entry,40,large,India,229024.38
masters,8,medicine,intermediate,1,medium,Brazil,82720.46
masters,6,medicine,entry,35,medium,Vietnam,120509.54
masters,7,marketing,senior,13,small,Pakistan,86267.02
phd,7,sales,senior,22,micro,Nigeria,89886.08
bachelors,11,design,entry,3,large,Turkey,40938.23
phd,6,design,entry,32,micro,Russia,69627.07
masters,6,education,entry,17,medium,Japan,49536.36
bachelors,11,engineering,entry,0,large,Turkey,39351.5
masters,6,research,entry,5,small,Vietnam,34020.57
bachelors,11,education,senior,37,medium,DR Congo,144773.84
bachelors,8,law,intermediate,28,small,Russia,99671.37
masters,12,sales,senior,33,medium,Ethiopia,151545.32
phd,8,engineering,intermediate,32,micro,Russia,100398.24
bachelors,12,engineering,entry,36,medium,Nigeria,122685.01
phd,8,research,intermediate,27,medium,Brazil,112555.04
masters,9,law,intermediate,27,micro,Bangladesh,103060.08
masters,9,law,senior,25,micro,Brazil,146974.09
phd,6,it,intermediate,39,large,Iran,169362.22
bachelors,9,engineering,intermediate,6,medium,Thailand,63492.87
phd,9,sales,intermediate,26,medium,Mexico,97231.4
bachelors,10,it,entry,26,small,Indonesia,89642.3
bachelors,7,marketing,senior,16,micro,Canada,84591.94
masters,11,engineering,entry,35,large,Russia,126139.99
phd,7,finance,intermediate,38,medium,Iran,137437.53
bachelors,11,it,senior,22,large,Indonesia,179148.37
masters,11,research,intermediate,30,small,Pakistan,118388.34
masters,7,education,intermediate,33,large,Philippines,122677.26
masters,10,finance,intermediate,35,medium,Iran,139175.13
masters,9,finance,senior,22,medium,Germany,166136.54
phd,7,research,senior,0,medium,China,97066.59
masters,11,design,entry,5,micro,Germany,37695.61
bachelors,12,research,intermediate,37,large,Turkey,157812.12
phd,7,sales,entry,13,small,India,46074.4
phd,7,law,intermediate,36,small,Ethiopia,125915.27
bachelors,12,research,senior,30,large,Ethiopia,213450.34
bachelors,8,education,intermediate,5,medium,Iran,54328.72
phd,9,sales,intermediate,38,small,Pakistan,108979.65
phd,12,research,entry,40,micro,Turkey,115016.85
bachelors,7,research,entry,3,medium,Mexico,32608.81
masters,7,research,entry,40,micro,Ethiopia,88495.25
phd,7,law,intermediate,32,medium,Philippines,140326.43
phd,11,sales,intermediate,3,large,Germany,87568.0
masters,6,finance,senior,20,small,Ethiopia,123862.78
masters,6,medicine,senior,31,large,Indonesia,188608.39
bachelors,9,it,senior,27,small,Russia,138483.3
bachelors,9,it,senior,21,medium,Turkey,136957.98
bachelors,10,engineering,entry,15,small,Philippines,50919.25
masters,10,law,entry,35,medium,DR Congo,130981.46
bachelors,9,finance,entry,3,small,China,34933.58
bachelors,7,medicine,senior,17,large,USA,167135.24
masters,8,sales,intermediate,38,micro,China,84109.83
phd,9,sales,intermediate,25,micro,Brazil,76891.34
masters,11,design,intermediate,9,medium,Iran,74112.12
bachelors,11,finance,senior,1,micro,Russia,86388.79
phd,7,law,senior,15,small,Mexico,133410.83
phd,8,education,entry,30,small,Brazil,71456.1
phd,12,sales,entry,32,micro,Japan,80996.05
phd,12,marketing,entry,15,micro,China,63048.53
masters,10,engineering,senior,24,large,Mexico,185515.42
masters,12,design,senior,0,micro,India,77049.91
bachelors,10,it,entry,30,micro,Pakistan,75925.05
masters,12,marketing,intermediate,7,micro,Vietnam,69356.29
masters,11,research,entry,6,medium,Russia,56225.05
phd,8,medicine,entry,34,micro,Canada,107915.83
phd,7,education,intermediate,16,small,DR Congo,77690.72
phd,11,education,entry,40,medium,China,115565.26
masters,7,engineering,entry,7,small,Germany,45004.06
bachelors,6,research,senior,36,small,Pakistan,118467.25
masters,11,medicine,intermediate,10,medium,DR Congo,114689.78
masters,11,design,entry,32,small,Russia,82732.45
bachelors,9,it,intermediate,28,micro,Vietnam,100877.92
bachelors,11,sales,entry,12,large,China,57265.73
masters,7,law,senior,7,small,USA,114016.81
bachelors,7,law,senior,16,large,Vietnam,164335.77
bachelors,11,education,senior,0,small,Bangladesh,83099.4
bachelors,11,sales,entry,17,medium,Japan,59560.99
bachelors,9,marketing,intermediate,12,micro,Ethiopia,54551.47
masters,11,sales,intermediate,1,large,Brazil,67364.18
phd,9,sales,senior,20,medium,Japan,121582.25
bachelors,7,research,intermediate,20,medium,Turkey,81169.84
masters,8,medicine,intermediate,3,medium,Germany,74471.86
bachelors,7,it,senior,27,small,Japan,138077.53
bachelors,7,marketing,senior,13,medium,Philippines,101355.27
masters,10,it,senior,7,medium,Egypt,138931.82
bachelors,12,law,senior,17,medium,Bangladesh,159869.56
phd,12,it,intermediate,26,small,Japan,127261.21
phd,11,finance,senior,40,small,Canada,214397.24
phd,7,medicine,senior,0,micro,Turkey,96915.33
bachelors,6,it,entry,9,large,China,49288.43
