degree,hours_daily,field,job_level,yrs_experience,company_size,country,salary_usd
masters,6,law,senior,35,micro,China,126902.51
masters,10,research,senior,8,micro,Ethiopia,93914.31
masters,9,finance,entry,33,medium,Philippines,106619.73
bachelors,9,education,intermediate,39,medium,Indonesia,107848.35
bachelors,6,education,intermediate,15,micro,Ethiopia,43917.11
masters,7,finance,intermediate,10,small,Turkey,66788.29
bachelors,10,research,entry,11,large,Brazil,63650.21
masters,9,research,entry,27,micro,Japan,72179.05
phd,9,education,entry,0,micro,Canada,35412.91
bachelors,9,marketing,intermediate,30,micro,China,80266.01
bachelors,12,finance,entry,27,micro,Ethiopia,80450.55
phd,7,research,senior,13,small,Turkey,117736.94
phd,11,it,senior,3,small,Vietnam,116449.83
phd,6,marketing,senior,21,micro,dr_congo,102037.86
phd,10,sales,intermediate,20,micro,Brazil,86072.56
bachelors,12,law,entry,17,small,Iran,74742.22
phd,9,marketing,senior,34,medium,Nigeria,178473.3
phd,11,sales,senior,6,large,dr_congo,129406.86
bachelors,10,medicine,entry,14,large,Germany,85322.86
masters,12,engineering,entry,18,medium,Iran,73965.85
masters,6,engineering,entry,17,large,Ethiopia,70042.48
phd,11,marketing,intermediate,4,micro,Turkey,63581.57
masters,12,medicine,intermediate,28,medium,Germany,159023.64
masters,6,marketing,entry,12,medium,Ethiopia,49735.92
masters,12,sales,intermediate,9,large,China,98868.8
phd,7,law,senior,6,small,Thailand,117191.22
phd,11,it,intermediate,34,medium,Philippines,153282.46
phd,8,education,entry,4,small,Japan,42255.25
masters,7,research,senior,29,medium,Egypt,132844.08
phd,8,education,senior,8,micro,Mexico,77927.6
phd,12,medicine,intermediate,31,large,Germany,237834.91
masters,6,marketing,intermediate,4,medium,Canada,53716.25
phd,9,engineering,intermediate,29,large,Pakistan,152460.85
bachelors,9,design,intermediate,1,micro,Ethiopia,42862.84
phd,12,research,intermediate,25,micro,Mexico,104816.86
masters,8,research,senior,9,small,Ethiopia,102342.51
phd,8,sales,intermediate,0,medium,USA,57412.29
bachelors,9,sales,intermediate,2,large,Pakistan,55099.64
masters,11,education,intermediate,16,small,Iran,70206.1
masters,10,marketing,entry,33,micro,Japan,78131.41
phd,9,research,entry,16,medium,USA,74640.72
phd,6,engineering,senior,33,large,USA,183483.99
masters,11,finance,intermediate,12,medium,Turkey,100005.7
bachelors,12,medicine,senior,3,large,China,159795.2
